id,Country,Actor1,Actor2,Actor3,Genre1,Genre2,Genre3,Plot,Poster,Runtime,Title,imdbRating,totalSeasons
0,USA,RamiMalek,ChristianSlater,CarlyChaikin,Crime,Drama,Thriller,Elliot; a brilliant but highly unstable young cyber-security engineer and vigilante hacker; becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.,https://m.media-amazon.com/images/M/MV5BMzgxMmQxZjQtNDdmMC00MjRlLTk1MDEtZDcwNTdmOTg0YzA2XkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_SX300.jpg,49,Mr. Robot,8.5,4
1,UK,CillianMurphy,PaulAnderson,HelenMcCrory,Crime,Drama,,"A gangster family epic set in 1919 Birmingham; England, centered on a gang who sew razor blades in the peaks of their caps; and their fierce boss Tommy Shelby.",https://m.media-amazon.com/images/M/MV5BMTkzNjEzMDEzMF5BMl5BanBnXkFtZTgwMDI0MjE4MjE@._V1_SX300.jpg,60,Peaky Blinders,8.8,5
2,Germany; USA,KarolineEichhorn,LouisHofmann,J̦rdisTriebel,Crime,Drama,Mystery,A family saga with a supernatural twist; set in a German town; where the disappearance of two young children exposes the relationships among four families.,https://m.media-amazon.com/images/M/MV5BMmIyZjA3NGUtYjlhNS00ZDlkLWI0MDgtMDc2YWNjNGMwYWZhXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_SX300.jpg,60,Dark,8.7,3
3,USA,BryanCranston,AnnaGunn,AaronPaul,Crime,Drama,Thriller,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,https://m.media-amazon.com/images/M/MV5BMjhiMzgxZTctNDc1Ni00OTIxLTlhMTYtZTA3ZWFkODRkNmE2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,49,Breaking Bad,9.5,5
4,USA; UK,PeterDinklage,LenaHeadey,EmiliaClarke,Action,Adventure,Drama,Nine noble families fight for control over the mythical lands of Westeros; while an ancient enemy returns after being dormant for thousands of years.,https://m.media-amazon.com/images/M/MV5BMjA5NzA5NjMwNl5BMl5BanBnXkFtZTgwNjg2OTk2NzM@._V1_SX300.jpg,57,Game of Thrones,9.5,8
5,USA,NormanReedus,MelissaMcBride,DanaiGurira,Drama,Horror,Thriller,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins; and must lead a group of survivors to stay alive.,https://m.media-amazon.com/images/M/MV5BYTUwOTM3ZGUtMDZiNy00M2I3LWI1ZWEtYzhhNGMyZjI3MjBmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,44,The Walking Dead,8.2,11
6,USA,MatthewMcConaughey,ColinFarrell,MahershalaAli,Crime,Drama,Mystery,Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved; both within and outside the law.,https://m.media-amazon.com/images/M/MV5BMTUwMGM2ZmYtZGEyZC00OWQyLWI2Y2QtMTdjYzMxZGJmNjhjXkEyXkFqcGdeQXVyNjU2ODM5MjU@._V1_SX300.jpg,55,True Detective,9,3
7,USA,JasonMomoa,SylviaHoeks,HeraHilmar,Action,Drama,Sci-Fi,Far in a dystopian future; the human race has lost the sense of sight; and society has had to find new ways to interact; build; hunt; and to survive. All of that is challenged when a set of twins is born with sight.,https://m.media-amazon.com/images/M/MV5BYWI2ZmM5ZTgtOTgxYS00MTQ4LThkMjQtZjBlNGM3NjQ5YTI5XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,60,See,7.6,1
8,USA,DanCastellaneta,NancyCartwright,HarryShearer,Animation,Comedy,,The satiric adventures of a working-class family in the misfit city of Springfield.,https://m.media-amazon.com/images/M/MV5BYjFkMTlkYWUtZWFhNy00M2FmLThiOTYtYTRiYjVlZWYxNmJkXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,22,The Simpsons,8.7,31
9,USA,BobOdenkirk,JonathanBanks,RheaSeehorn,Crime,Drama,,The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque; New Mexico.,https://m.media-amazon.com/images/M/MV5BMGE4YzY4NGEtOWYyYS00ZDk2LWExMmMtZDIyODhiMmNlMGE0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,46,Better Call Saul,8.7,6
